MuncipalityID;Name;CountyID;NumberOfVotes;VotesForKO;VotesForLEW;VotesForTD;VotesForKONF;VotesForPIS;VotesForBS
60213;gm. Tereszpol;60200;1042;134;16;105;168;607;9
60214;gm. Turobin;60200;1941;163;40;99;429;1197;10
60301;m. Rejowiec Fabryczny;60300;1021;333;47;21;128;478;12
60302;gm. Białopole;60300;656;142;27;25;109;350;2
60303;gm. Chełm;60300;4017;1070;209;287;702;1696;34
60304;gm. Dorohusk;60300;1582;325;46;53;308;828;16
60305;gm. Dubienka;60300;578;174;33;48;88;227;4
60306;gm. Kamień;60300;1056;200;45;55;270;475;7
60307;gm. Leśniowice;60300;775;178;43;52;116;379;5
60308;gm. Rejowiec Fabryczny;60300;878;144;32;48;144;496;13
60309;gm. Ruda-Huta;60300;997;248;20;75;172;473;5
60310;gm. Sawin;60300;1289;320;54;72;218;604;16
60311;gm. Siedliszcze;60300;1472;360;49;55;223;766;16
60312;gm. Wierzbica;60300;1237;276;25;19;212;690;5
60313;gm. Wojsławice;60300;913;168;19;30;164;499;31
60314;gm. Żmudź;60300;786;164;35;20;175;387;3
60315;gm. Rejowiec;60300;1362;359;55;39;241;652;15
60401;m. Hrubieszów;60400;4748;1650;167;448;508;1914;49
60402;gm. Dołhobyczów;60400;1059;143;29;143;157;575;11
60403;gm. Horodło;60400;1017;211;26;78;171;512;11
60404;gm. Hrubieszów;60400;2361;373;37;222;442;1250;25
60405;gm. Mircze;60400;1558;204;39;221;271;806;11
60406;gm. Trzeszczany;60400;909;145;19;61;158;513;12
60407;gm. Uchanie;60400;1132;132;25;70;224;664;15
60408;gm. Werbkowice;60400;2157;333;36;132;386;1207;50
60501;gm. Batorz;60500;1128;90;23;29;228;750;4
60502;gm. Chrzanów;60500;1102;37;19;26;207;805;4
60503;gm. Dzwola;60500;2104;82;44;81;407;1477;11
60504;gm. Godziszów;60500;2297;38;97;46;455;1653;4
60505;gm. Janów Lubelski;60500;5026;923;292;120;808;2847;29
60506;gm. Modliborzyce;60500;1975;257;103;58;344;1191;18
60507;gm. Potok Wielki;60500;1247;139;56;28;206;801;13
60601;m. Krasnystaw;60600;5189;2093;204;213;657;1933;76
60602;gm. Fajsławice;60600;1327;169;24;76;236;804;12
60603;gm. Gorzków;60600;896;201;11;74;147;448;12
60604;gm. Izbica;60600;1908;371;59;115;315;1017;25
60605;gm. Krasnystaw;60600;2120;544;48;100;347;1042;25
60606;gm. Kraśniczyn;60600;917;189;36;66;143;413;67
60607;gm. Łopiennik Górny;60600;923;162;8;42;137;562;9
60609;gm. Rudnik;60600;691;116;18;46;105;388;15
60610;gm. Siennica Różana;60600;978;250;27;124;180;383;8
60611;gm. Żółkiewka;60600;1215;175;31;58;227;705;11
60701;m. Kraśnik;60700;9991;3124;330;597;1039;4792;87
60702;gm. Annopol;60700;2075;339;89;150;235;1236;20
60703;gm. Dzierzkowice;60700;1508;188;41;169;265;835;7
60704;gm. Gościeradów;60700;1771;191;204;94;206;1055;20
